Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C3, C4",0805,5,C15850,
"C11, C13",0805,2,10nF,
"C14, C15, C16, C17",1206,4,100μF,
"C2, C7, C8, C9",0805,4,100nF,
"C5, C6",0805,2,C28323,
D1,0805,1,GREEN,
D2,0805,1,RED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,C165948,
J2,TF-SMD_TF-115-BCP9,1,C720505,C720505
"J3, J4",PinHeader_2x04_P2.54mm_Vertical,2,~,
"J5, J8",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,2,C160402,
"J6, J7",JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,2,C160407,
J9,PinHeader_1x02_P2.54mm_Vertical,1,~,
Q1,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,C7525054,C7525054
R1,0805,1,1.2kΩ,
"R10, R11, R12, R13, R14, R15, R17, R18, R19, R9",0805,10,10k,
"R2, R3, R6",0805,3,1k,
"R4, R5",0805,2,5.1k,
R7,0805,1,100Ω,
R8,0805,1,1M,
"SW1, SW2, SW3",SW_SPST_PTS645Sx43SMTR92,3,SW_Push,
"SW4, SW5",SW_Push_SPST_NO_Alps_SKRK,2,C139797,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,SOT-23-6,1,DW01A,
U3,SOT-23-5,1,AP2112K-3.3,
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16-R8,
