Designator,Mid X,Mid Y,Rotation,Layer
C1,-70.028529,-47.0,180.0,top
C10,-69.638529,58.53,180.0,top
C11,-72.738529,56.18,180.0,top
C12,-57.688529,26.03,0.0,top
C13,-52.788529,26.03,0.0,top
C14,-7.663529,16.91,180.0,top
C15,-7.663529,19.48,180.0,top
C16,9.97,17.35,0.0,top
C17,9.97,20.0,0.0,top
C2,-16.418529,-9.67,0.0,top
C3,-73.798529,-33.79,0.0,top
C4,-79.608529,-33.95,0.0,top
C5,-52.608529,-41.28,0.0,top
C6,-67.068529,62.32,270.0,top
C7,-69.288529,-26.07,270.0,top
C8,-45.838529,-24.72,270.0,top
C9,-24.088529,-25.67,270.0,top
D1,-87.928529,-44.53,0.0,top
D2,-87.928529,-49.05,0.0,top
J1,-47.838529,-52.32,0.0,top
J2,-75.01,20.21,270.0,top
J3,-6.028529,28.63,0.0,bottom
J4,4.57,28.63,0.0,top
J5,-7.773529,-7.32,90.0,top
J6,6.13,3.0,270.0,top
J7,-7.673529,3.0,90.0,top
J8,5.865,-7.15,270.0,top
J9,10.53,-20.29,90.0,top
Q1,-67.056029,-34.85,180.0,top
R1,-70.428529,-53.41,0.0,top
R10,-60.658529,19.13,0.0,top
R11,-64.938529,19.15,0.0,top
R12,-59.438529,33.33,180.0,top
R13,-59.438529,30.88,180.0,top
R14,-59.438529,35.68,180.0,top
R15,-34.838529,52.33,90.0,top
R17,-42.438529,-24.72,270.0,top
R18,-66.738529,-26.07,270.0,top
R19,-20.688529,-25.67,270.0,top
R2,-87.948529,-38.59,0.0,top
R3,-87.948529,-41.39,0.0,top
R4,-49.318529,-37.9475,90.0,top
R5,-45.288529,-37.9475,90.0,top
R6,-62.508529,-39.35,90.0,top
R7,-65.971029,-44.72,0.0,top
R8,-55.598529,-49.28,180.0,top
R9,-61.121029,62.55,90.0,top
SW1,-47.838529,-31.82,0.0,bottom
SW2,-70.838529,-31.82,0.0,bottom
SW3,-24.838529,-31.82,0.0,bottom
SW4,-29.788529,47.73,270.0,top
SW5,-69.738529,47.73,90.0,top
U1,-79.778529,-40.37,90.0,top
U2,-66.398529,-41.3025,0.0,top
U3,-56.738529,-39.8275,180.0,top
U5,-47.883373,61.152082,0.0,top
